phi_deg,none,<= 0.01,<= 0.02,<= 0.03,<= 0.04,<= 0.05,<= 0.06,<= 0.07,<= 0.08,<= 0.09,<= 0.10,<= 0.11,<= 0.12,<= 0.13,<= 0.14,<= 0.15,<= 0.16,<= 0.17,<= 0.18,<= 0.19
-59.81884058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-59.45652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-59.0942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-58.73188406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-58.36956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-58.00724638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-57.64492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-57.2826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-56.92028986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-56.55797101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-56.19565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-55.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-55.47101449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-55.10869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-54.74637681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-54.38405797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-54.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-53.65942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-53.29710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-52.93478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-52.57246377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-52.21014493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-51.84782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-51.48550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-51.12318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50.76086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50.39855072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50.03623188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-49.67391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-49.3115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-48.94927536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-48.58695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-48.22463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.86231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.13768116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.77536232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.41304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.05072464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.6884058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.32608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.96376812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.60144928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.23913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.87681159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.51449275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.15217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.78985507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.42753623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.06521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.70289855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.34057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.97826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.61594203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.25362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.89130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.52898551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-38.80434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-38.44202899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-38.07971014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.7173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.35507246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.99275362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.63043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.26811594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.9057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.54347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.18115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
