H,K,r,A_HT,A_fit,A_num,ratio_fit,ratio_num,rmse
-4,-3,0.6349080329153227,4.243321197325586,0.5714567608379719,3.2891549029358935,0.1346720491482334,0.775136915161862,0.01934429674822554
-4,-2,0.6048671907885687,3.6250811575656647,0.3699619209569454,2.72574539610699,0.1020561760899677,0.7519129303955773,0.01332424250517154
-4,0,0.6288207202150918,4.1093822961581985,0.5225940228797823,3.1662331919612656,0.1271709432749413,0.7704888384128512,0.017965438564213457
-4,1,0.6774639438966767,5.329921040391167,1.0867512308935816,4.297462244740492,0.20389630965599145,0.8062900392282543,0.03270923734397408
-4,3,0.8058340180430458,11.63643878095638,9.9019432732377,10.388855116894678,0.8509427548781273,0.8927864712266234,0.048177097097337536
-4,4,0.8690661789857874,19.391394666288875,19.38631636864723,18.093597740907008,0.9997381159153821,0.933073564448769,0.019871888217063042
-3,-4,0.6048671907885687,3.6250811575656647,0.3699688312876063,2.725475129767794,0.10205808234540324,0.7518383758332243,0.013208717884209973
-3,-2,0.6288207202150918,4.1093822961581985,0.5217919592063689,3.166547465633851,0.12697576462870944,0.7705653155205857,0.017933270992616452
-3,-1,0.6774639438966767,5.329921040391167,1.0859982329945927,4.298039337500281,0.20375503215989302,0.8063983133950601,0.032867173093304954
-3,1,0.8058340180430458,11.63643878095638,9.900359557125109,10.386818327542624,0.8508066551535979,0.8926114357720144,0.04777889495280959
-3,2,0.8690661789857874,19.391394666288875,19.39816094813265,18.08735142261787,1.0003489321918415,0.9327514463960641,0.021452347522619025
-3,4,0.9651341479030899,85.42062529365316,85.41187361794644,86.61082119607775,0.9998975461057955,1.0139333550689078,0.3447618560577214
-2,-4,0.6288207202150918,4.1093822961581985,0.5226643334673641,3.1653555738772097,0.12718805304534342,0.7702752739350764,0.018128301657719694
-2,-3,0.6774639438966767,5.329921040391167,1.086429723731707,4.297177619192694,0.20383598846934758,0.806236637771527,0.032653284051488374
-2,-1,0.8058340180430458,11.63643878095638,9.896711605240608,10.389386160980557,0.8504931613129848,0.8928321075330463,0.048776495598769516
-2,0,0.8690661789857874,19.391394666288875,19.396498198442227,18.088190763364164,1.000263185409878,0.932794730582722,0.024077738071329322
-2,2,0.9651341479030899,85.42062529365316,85.43156242756676,86.57551140872086,1.000128038560664,1.0135199913498352,0.3806738000333443
-2,3,0.9911539854234136,350.43674155606834,350.36710985431773,406.7162570029964,0.9998013002248525,1.1605982158064427,5.786648326685208
-1,-3,0.8058340180430458,11.63643878095638,9.900822327346706,10.381553093708074,0.8508464242126983,0.8921589576613431,0.04733203096962266
-1,-2,0.8690661789857874,19.391394666288875,19.395150706611105,18.07819903589096,1.0001936962444873,0.9322794645255275,0.023110598218207955
-1,0,0.9651341479030899,85.42062529365316,85.43415072000865,86.78445826363568,1.0001583391166828,1.015966085067793,0.37196300975500507
-1,1,0.9911539854234136,350.43674155606834,350.4208154471666,409.46202538610106,0.999954553541301,1.1684334912142451,5.822325507727861
-1,3,0.9911539854234136,350.43674155606834,350.58151879877096,407.460568268231,1.0004131337429396,1.1627221690823737,6.838455413318391
-1,4,0.9651341479030899,85.42062529365316,85.4412401750538,86.67773295164767,1.0002413337683935,1.0147166759043604,0.3672521562517308
0,-4,0.8690661789857874,19.391394666288875,19.378359107235916,18.078094926578945,0.9993277657807862,0.9322740956846675,0.020790802571602922
0,-2,0.9651341479030899,85.42062529365316,85.39326780943011,86.76923711078777,0.9996797321006607,1.0157878944634091,0.37303418283822776
0,-1,0.9911539854234136,350.43674155606834,350.38888233026137,408.05002360566783,0.9998634297716773,1.1644042282603566,6.256895737978374
0,1,0.9911539854234136,350.43674155606834,350.42060606056873,406.82106667298444,0.999953956039461,1.1608972988007733,5.476719580110572
0,2,0.9651341479030899,85.42062529365316,85.43873783621405,86.64395731607576,1.0002120394518141,1.01432127215432,0.36872019349184904
0,4,0.8690661789857874,19.391394666288875,19.369765205234383,18.091225288180652,0.9988845845579074,0.9329512188017857,0.022991442444622052
1,-4,0.9651341479030899,85.42062529365316,85.44791411344356,86.79727388949576,1.0003194640603086,1.016116114710119,0.3795908758143715
1,-3,0.9911539854234136,350.43674155606834,350.40183500943755,408.6063058457364,0.9999003913046451,1.165991625282708,5.942852168008923
1,-1,0.9911539854234136,350.43674155606834,350.29061810543186,407.91762353074307,0.9995830247422469,1.1640264137813816,5.8165530810137005
1,0,0.9651341479030899,85.42062529365316,85.43838260893473,86.7908029901766,1.0002078808861505,1.0160403613508229,0.40487873370848493
1,2,0.8690661789857874,19.391394666288875,19.399379861166757,18.091006459844692,1.0004117906429786,0.9329399339850035,0.020927819698327618
1,3,0.8058340180430458,11.63643878095638,9.903122244832884,10.387561539242885,0.8510440720953084,0.8926753051150541,0.0488256178138186
2,-3,0.9911539854234136,350.43674155606834,350.49170164118044,407.850044591631,1.0001568331130692,1.1638335717328794,6.233374362160479
2,-2,0.9651341479030899,85.42062529365316,85.4118086368196,86.63769525484531,0.9998967853863953,1.0142479636154407,0.38439893480714077
2,0,0.8690661789857874,19.391394666288875,19.379329430917934,18.08456186921088,0.9993778046613679,0.9326075911729099,0.0209309611271906
2,1,0.8058340180430458,11.63643878095638,9.903466578213056,10.390691127231152,0.8510736630540762,0.8929442523460049,0.04757060728833872
2,3,0.6774639438966767,5.329921040391167,1.08556988946762,4.298876422499481,0.20367466633013181,0.8065553673162825,0.032355380426028
2,4,0.6288207202150918,4.1093822961581985,0.5224791189686726,3.165482890214719,0.12714298191655976,0.7703062558025041,0.017861044726125843
3,-4,0.9651341479030899,85.42062529365316,85.43544874365057,86.55638910725037,1.0001735347867853,1.0132961308781427,0.37315848328640844
3,-2,0.8690661789857874,19.391394666288875,19.375109253766762,18.089018378331584,0.999160173221041,0.932837410079564,0.021478538171401634
3,-1,0.8058340180430458,11.63643878095638,9.901870134313192,10.389213580547713,0.8509364695423915,0.8928172764978737,0.04776804934867365
3,1,0.6774639438966767,5.329921040391167,1.086221709060413,4.295990055515283,0.20379696074835177,0.8060138270266001,0.03264079983986187
3,2,0.6288207202150918,4.1093822961581985,0.5226611199656825,3.1661561846360824,0.12718727105392721,0.7704700990209832,0.017939289973663324
3,4,0.6048671907885687,3.6250811575656647,0.3690920447187942,2.7261406082035364,0.10181621560347327,0.7520219519814033,0.013389994934572222
4,-4,0.8690661789857874,19.391394666288875,19.39505301751798,18.108774413982054,1.0001886584896065,0.9338562143476662,0.02265296146521014
4,-3,0.8058340180430458,11.63643878095638,9.901448756391373,10.388086264577058,0.8509002576110823,0.8927203984072589,0.047769401524065065
4,-1,0.6774639438966767,5.329921040391167,1.0864080664765865,4.2986524396795405,0.20383192513427068,0.8065133436505953,0.03250553363901313
4,0,0.6288207202150918,4.1093822961581985,0.5226004523527509,3.165901073073316,0.1271725078587413,0.7704080187509132,0.017748083301825132
4,2,0.6048671907885687,3.6250811575656647,0.36921670163993053,2.7261536979375793,0.1018506029497748,0.7520255628616772,0.01322370755582315
4,3,0.6349080329153227,4.243321197325586,0.5709330657417426,3.28906611420282,0.1345486328259999,0.7751159908129983,0.019176924661891893
